COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
capaises_c,País solicitante,SECC VI. 5,Numérico,2,1 al 99
totalca1,Extradiciones realizadas,SECC VI. 5,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
