COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
capaises_c,País receptor,SECC VI. 4,Numérico,2,1 al 99
totalca1,Traslados internacionales realizados,SECC VI. 4,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
