mes,mes_nombre,centro,tipo,entidad_origen,fc_procesados_h,fc_procesados_m,fc_sentenciados_h,fc_sentenciados_m,ff_procesados_h,ff_procesados_m,ff_sentenciados_h,ff_sentenciados_m,total
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Ciudad de México,14,0,113,0,43,0,50,0,220
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Coahuila de Zaragoza,3,0,48,0,5,0,12,0,68
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Colima,1,0,3,0,1,0,6,0,11
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Durango,1,0,10,0,3,0,7,0,21
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Estado de México,3,0,183,0,56,0,34,0,276
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Guanajuato,5,0,165,0,1,0,5,0,176
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Guerrero,4,0,40,0,38,0,35,0,117
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Hidalgo,1,0,23,0,2,0,3,0,29
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Jalisco,6,0,22,0,23,0,44,0,95
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Michoacán de Ocampo,2,0,37,0,11,0,36,0,86
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Morelos,3,0,10,0,5,0,10,0,28
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Nayarit,10,0,42,0,92,0,81,0,225
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Nuevo León,3,0,53,0,2,0,2,0,60
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Oaxaca,1,0,9,0,3,0,4,0,17
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Puebla,16,0,77,0,8,0,13,0,114
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Querétaro,0,0,13,0,2,0,0,0,15
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Quintana Roo,5,0,14,0,0,0,0,0,19
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,San Luis Potosí,5,0,16,0,0,0,1,0,22
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Sinaloa,5,0,20,0,31,0,30,0,86
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Sonora,5,0,51,0,2,0,9,0,67
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Tabasco,6,0,24,0,5,0,3,0,38
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Tamaulipas,23,0,39,0,26,0,36,0,124
