"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Tipo de personas que le robaron: Custodios(as)","P7_42_1_2","Numérico","1","0
"
"Tipo de personas que le robaron: Custodios(as)","P7_42_1_2","Numérico","1","1
"
"Tipo de personas que le robaron: Personal técnico penitenciario","P7_42_1_3","Numérico","1","0
"
"Tipo de personas que le robaron: Personal técnico penitenciario","P7_42_1_3","Numérico","1","1
"
"Tipo de personas que le robaron: Otro","P7_42_1_4","Numérico","1","0
"
"Tipo de personas que le robaron: Otro","P7_42_1_4","Numérico","1","1
"
"Tipo de personas que le robaron: No sabe","P7_42_1_8","Numérico","1","0
"
"Tipo de personas que le robaron: No sabe","P7_42_1_8","Numérico","1","1
"
"Tipo de personas que le robaron: No responde","P7_42_1_9","Numérico","1","0
"
"Tipo de personas que le robaron: No responde","P7_42_1_9","Numérico","1","1
"
"Tipo de lugar donde le robaron sus objetos personales: En su celda","P7_43_1_1","Numérico","1","0
"
"Tipo de lugar donde le robaron sus objetos personales: En su celda","P7_43_1_1","Numérico","1","1
"
"Tipo de lugar donde le robaron sus objetos personales: En el patio (canchas o áreas recreativas)","P7_43_1_2","Numérico","1","0
"
"Tipo de lugar donde le robaron sus objetos personales: En el patio (canchas o áreas recreativas)","P7_43_1_2","Numérico","1","1
"
"Tipo de lugar donde le robaron sus objetos personales: En los baños (regaderas y sanitarios)","P7_43_1_3","Numérico","1","0
"
"Tipo de lugar donde le robaron sus objetos personales: En los baños (regaderas y sanitarios)","P7_43_1_3","Numérico","1","1
"
"Tipo de lugar donde le robaron sus objetos personales: En las áreas de visita","P7_43_1_4","Numérico","1","0
"
"Tipo de lugar donde le robaron sus objetos personales: En las áreas de visita","P7_43_1_4","Numérico","1","1
"
"Tipo de lugar donde le robaron sus objetos personales: En las áreas del personal técnico penitenciario (oficinas, cubículos, consultorios)","P7_43_1_5","Numérico","1","0
"
"Tipo de lugar donde le robaron sus objetos personales: En las áreas del personal técnico penitenciario (oficinas, cubículos, consultorios)","P7_43_1_5","Numérico","1","1
"
"Tipo de lugar donde le robaron sus objetos personales: Otro","P7_43_1_6","Numérico","1","0
"
"Tipo de lugar donde le robaron sus objetos personales: Otro","P7_43_1_6","Numérico","1","1
"
"Tipo de lugar donde le robaron sus objetos personales: No sabe","P7_43_1_8","Numérico","1","0
"
"Tipo de lugar donde le robaron sus objetos personales: No sabe","P7_43_1_8","Numérico","1","1
"
"Tipo de lugar donde le robaron sus objetos personales: No responde","P7_43_1_9","Numérico","1","0
"
"Tipo de lugar donde le robaron sus objetos personales: No responde","P7_43_1_9","Numérico","1","1
"
"Reporte ante alguna autoridad: robo de objetos personales","P7_44_1","Numérico","1","1
"
"Reporte ante alguna autoridad: robo de objetos personales","P7_44_1","Numérico","1","2
"
"Reporte ante alguna autoridad: robo de objetos personales","P7_44_1","Numérico","1","8
"
"Reporte ante alguna autoridad: robo de objetos personales","P7_44_1","Numérico","1","9
"
"Autoridad ante la que reportó el robo de objetos personales","P7_45_1","Numérico","1","1
"
"Autoridad ante la que reportó el robo de objetos personales","P7_45_1","Numérico","1","2
"
"Autoridad ante la que reportó el robo de objetos personales","P7_45_1","Numérico","1","3
"
"Autoridad ante la que reportó el robo de objetos personales","P7_45_1","Numérico","1","4
"
"Autoridad ante la que reportó el robo de objetos personales","P7_45_1","Numérico","1","8
"
"Autoridad ante la que reportó el robo de objetos personales","P7_45_1","Numérico","1","9
"
"Número de veces que sufrió victimización por extorsión","P7_41_2","Numérico","2","01 .. 97
"
"Número de veces que sufrió victimización por extorsión","P7_41_2","Numérico","2","98
"
"Número de veces que sufrió victimización por extorsión","P7_41_2","Numérico","2","99
"
"Tipo de personas que le extorsionaron: Internos(as)","P7_42_2_1","Numérico","1","0
"
"Tipo de personas que le extorsionaron: Internos(as)","P7_42_2_1","Numérico","1","1
"
"Tipo de personas que le extorsionaron: Custodios(as)","P7_42_2_2","Numérico","1","0
"
"Tipo de personas que le extorsionaron: Custodios(as)","P7_42_2_2","Numérico","1","1
"
"Tipo de personas que le extorsionaron: Personal técnico penitenciario","P7_42_2_3","Numérico","1","0
"
"Tipo de personas que le extorsionaron: Personal técnico penitenciario","P7_42_2_3","Numérico","1","1
"
"Tipo de personas que le extorsionaron: Otro","P7_42_2_4","Numérico","1","0
"
"Tipo de personas que le extorsionaron: Otro","P7_42_2_4","Numérico","1","1
"
"Tipo de personas que le extorsionaron: No sabe","P7_42_2_8","Numérico","1","0
"
"Tipo de personas que le extorsionaron: No sabe","P7_42_2_8","Numérico","1","1
"
"Tipo de personas que le extorsionaron: No responde","P7_42_2_9","Numérico","1","0
"
"Tipo de personas que le extorsionaron: No responde","P7_42_2_9","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): En su celda","P7_43_2_1","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): En su celda","P7_43_2_1","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): En el patio (canchas o áreas recreativas)","P7_43_2_2","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): En el patio (canchas o áreas recreativas)","P7_43_2_2","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): En los baños (regaderas y sanitarios)","P7_43_2_3","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): En los baños (regaderas y sanitarios)","P7_43_2_3","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): En las áreas de visita","P7_43_2_4","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): En las áreas de visita","P7_43_2_4","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): En las áreas del personal técnico penitenciario (oficinas, cubículos, consultorios)","P7_43_2_5","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): En las áreas del personal técnico penitenciario (oficinas, cubículos, consultorios)","P7_43_2_5","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): Otro","P7_43_2_6","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): Otro","P7_43_2_6","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): No sabe","P7_43_2_8","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): No sabe","P7_43_2_8","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): No responde","P7_43_2_9","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para exigirle dinero o bienes (extorsión): No responde","P7_43_2_9","Numérico","1","1
"
"Reporte ante alguna autoridad: amenazas o presiones para exigir dinero o bienes (extorsión)","P7_44_2","Numérico","1","1
"
"Reporte ante alguna autoridad: amenazas o presiones para exigir dinero o bienes (extorsión)","P7_44_2","Numérico","1","2
"
"Reporte ante alguna autoridad: amenazas o presiones para exigir dinero o bienes (extorsión)","P7_44_2","Numérico","1","8
"
"Reporte ante alguna autoridad: amenazas o presiones para exigir dinero o bienes (extorsión)","P7_44_2","Numérico","1","9
"
"Autoridad ante la que reportó las amenazas o presiones para exigir dinero o bienes (extorsión)","P7_45_2","Numérico","1","1
"
"Autoridad ante la que reportó las amenazas o presiones para exigir dinero o bienes (extorsión)","P7_45_2","Numérico","1","2
"
"Autoridad ante la que reportó las amenazas o presiones para exigir dinero o bienes (extorsión)","P7_45_2","Numérico","1","3
"
"Autoridad ante la que reportó las amenazas o presiones para exigir dinero o bienes (extorsión)","P7_45_2","Numérico","1","4
"
"Autoridad ante la que reportó las amenazas o presiones para exigir dinero o bienes (extorsión)","P7_45_2","Numérico","1","8
"
"Autoridad ante la que reportó las amenazas o presiones para exigir dinero o bienes (extorsión)","P7_45_2","Numérico","1","9
"
"Número de veces que sufrió victimización por amenazas","P7_41_3","Numérico","2","01 .. 97
"
"Número de veces que sufrió victimización por amenazas","P7_41_3","Numérico","2","98
"
"Número de veces que sufrió victimización por amenazas","P7_41_3","Numérico","2","99
"
"Tipo de personas que le amenazaron: Internos(as)","P7_42_3_1","Numérico","1","0
"
"Tipo de personas que le amenazaron: Internos(as)","P7_42_3_1","Numérico","1","1
"
"Tipo de personas que le amenazaron: Custodios(as)","P7_42_3_2","Numérico","1","0
"
"Tipo de personas que le amenazaron: Custodios(as)","P7_42_3_2","Numérico","1","1
"
"Tipo de personas que le amenazaron: Personal técnico penitenciario","P7_42_3_3","Numérico","1","0
"
"Tipo de personas que le amenazaron: Personal técnico penitenciario","P7_42_3_3","Numérico","1","1
"
"Tipo de personas que le amenazaron: Otro","P7_42_3_4","Numérico","1","0
"
"Tipo de personas que le amenazaron: Otro","P7_42_3_4","Numérico","1","1
"
"Tipo de personas que le amenazaron: No sabe","P7_42_3_8","Numérico","1","0
"
"Tipo de personas que le amenazaron: No sabe","P7_42_3_8","Numérico","1","1
"
"Tipo de personas que le amenazaron: No responde","P7_42_3_9","Numérico","1","0
"
"Tipo de personas que le amenazaron: No responde","P7_42_3_9","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: En su celda","P7_43_3_1","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: En su celda","P7_43_3_1","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: En el patio (canchas o áreas recreativas)","P7_43_3_2","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: En el patio (canchas o áreas recreativas)","P7_43_3_2","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: En los baños (regaderas y sanitarios)","P7_43_3_3","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: En los baños (regaderas y sanitarios)","P7_43_3_3","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: En las áreas de visita","P7_43_3_4","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: En las áreas de visita","P7_43_3_4","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: En las áreas del personal técnico penitenciario (oficinas, cubículos, consultorios)","P7_43_3_5","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: En las áreas del personal técnico penitenciario (oficinas, cubículos, consultorios)","P7_43_3_5","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: Otro","P7_43_3_6","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: Otro","P7_43_3_6","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: 

No sabe","P7_43_3_8","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: 

No sabe","P7_43_3_8","Numérico","1","1
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: 

No responde","P7_43_3_9","Numérico","1","0
"
"Tipo de lugar donde lo han amenazado o presionado para que hiciera algo o dejara de hacerlo: 

No responde","P7_43_3_9","Numérico","1","1
"
"Reporte ante alguna autoridad: amenazas o presiones para que hiciera algo o dejara de hacerlo","P7_44_3","Numérico","1","1
"
"Reporte ante alguna autoridad: amenazas o presiones para que hiciera algo o dejara de hacerlo","P7_44_3","Numérico","1","2
"
"Reporte ante alguna autoridad: amenazas o presiones para que hiciera algo o dejara de hacerlo","P7_44_3","Numérico","1","8
"
"Reporte ante alguna autoridad: amenazas o presiones para que hiciera algo o dejara de hacerlo","P7_44_3","Numérico","1","9
"
"Autoridad ante la que reportó las amenazas o presiones para que hiciera algo o dejara de hacerlo","P7_45_3","Numérico","1","1
"
"Autoridad ante la que reportó las amenazas o presiones para que hiciera algo o dejara de hacerlo","P7_45_3","Numérico","1","2
"
"Autoridad ante la que reportó las amenazas o presiones para que hiciera algo o dejara de hacerlo","P7_45_3","Numérico","1","3
"
"Autoridad ante la que reportó las amenazas o presiones para que hiciera algo o dejara de hacerlo","P7_45_3","Numérico","1","4
"
"Autoridad ante la que reportó las amenazas o presiones para que hiciera algo o dejara de hacerlo","P7_45_3","Numérico","1","8
"
"Autoridad ante la que reportó las amenazas o presiones para que hiciera algo o dejara de hacerlo","P7_45_3","Numérico","1","9
"
"Número de veces que sufrió victimización por lesiones físicas","P7_41_4","Numérico","2","01 .. 97
"
"Número de veces que sufrió victimización por lesiones físicas","P7_41_4","Numérico","2","98
"
"Número de veces que sufrió victimización por lesiones físicas","P7_41_4","Numérico","2","99
"
"Lesiones físicas causadas por empujones","P7_41A1_4","Numérico","1","0
"
"Lesiones físicas causadas por empujones","P7_41A1_4","Numérico","1","1
"
"Lesiones físicas causadas por patadas o puñetazos","P7_41A2_4","Numérico","1","0
"
"Lesiones físicas causadas por patadas o puñetazos","P7_41A2_4","Numérico","1","1
"
"Lesiones físicas causadas por golpes con objetos contundentes","P7_41A3_4","Numérico","1","0
"
"Lesiones físicas causadas por golpes con objetos contundentes","P7_41A3_4","Numérico","1","1
"
"Lesiones físicas causadas por cualquier objeto punzocortante","P7_41A4_4","Numérico","1","0
"
"Lesiones físicas causadas por cualquier objeto punzocortante","P7_41A4_4","Numérico","1","1
"
"Lesiones físicas causadas por heridas con arma de fuego","P7_41A5_4","Numérico","1","0
"
"Lesiones físicas causadas por heridas con arma de fuego","P7_41A5_4","Numérico","1","1
"
"Lesiones físicas causadas por descargas eléctricas","P7_41A6_4","Numérico","1","0
"
"Lesiones físicas causadas por descargas eléctricas","P7_41A6_4","Numérico","1","1
"
"Lesiones físicas causadas por otra situación","P7_41A7_4","Numérico","1","0
"
"Lesiones físicas causadas por otra situación","P7_41A7_4","Numérico","1","1
"
"Especificación de la lesiones físicas causadas por otra situación","R7_41A7_4X","Numérico","1","1
"
"Desconoce qué causó las lesiones físicas","P7_41A98_4","Numérico","1","0
"
"Desconoce qué causó las lesiones físicas","P7_41A98_4","Numérico","1","1
"
"No responde qué causó la lesión física","P7_41A99_4","Numérico","1","0
"
"No responde qué causó la lesión física","P7_41A99_4","Numérico","1","1
"
"Tipo de personas que le provocaron lesiones físicas: Internos(as)","P7_42_4_1","Numérico","1","0
"
"Tipo de personas que le provocaron lesiones físicas: Internos(as)","P7_42_4_1","Numérico","1","1
"
"Tipo de personas que le provocaron lesiones físicas: Custodios(as)","P7_42_4_2","Numérico","1","0
"
"Tipo de personas que le provocaron lesiones físicas: Custodios(as)","P7_42_4_2","Numérico","1","1
"
"Tipo de personas que le provocaron lesiones físicas: Personal técnico penitenciario","P7_42_4_3","Numérico","1","0
"
"Tipo de personas que le provocaron lesiones físicas: Personal técnico penitenciario","P7_42_4_3","Numérico","1","1
"
"Tipo de personas que le provocaron lesiones físicas: Otro","P7_42_4_4","Numérico","1","0
"
"Tipo de personas que le provocaron lesiones físicas: Otro","P7_42_4_4","Numérico","1","1
"
"Tipo de personas que le provocaron lesiones físicas: No sabe","P7_42_4_8","Numérico","1","0
"
"Tipo de personas que le provocaron lesiones físicas: No sabe","P7_42_4_8","Numérico","1","1
"
"Tipo de personas que le provocaron lesiones físicas: No responde","P7_42_4_9","Numérico","1","0
"
"Tipo de personas que le provocaron lesiones físicas: No responde","P7_42_4_9","Numérico","1","1
"
"Tipo de lugar donde le han provocado alguna lesión física: 

En su celda","P7_43_4_1","Numérico","1","0
"
"Tipo de lugar donde le han provocado alguna lesión física: 

En su celda","P7_43_4_1","Numérico","1","1
"
"Tipo de lugar donde le han provocado alguna lesión física: En el patio (canchas o áreas recreativas)","P7_43_4_2","Numérico","1","0
"
"Tipo de lugar donde le han provocado alguna lesión física: En el patio (canchas o áreas recreativas)","P7_43_4_2","Numérico","1","1
"
"Tipo de lugar donde le han provocado alguna lesión física: En los baños (regaderas y sanitarios)","P7_43_4_3","Numérico","1","0
"
"Tipo de lugar donde le han provocado alguna lesión física: En los baños (regaderas y sanitarios)","P7_43_4_3","Numérico","1","1
"
"Tipo de lugar donde le han provocado alguna lesión física: En las áreas de visita","P7_43_4_4","Numérico","1","0
"
"Tipo de lugar donde le han provocado alguna lesión física: En las áreas de visita","P7_43_4_4","Numérico","1","1
"
"Tipo de lugar donde le han provocado alguna lesión física: En las áreas del personal técnico penitenciario (oficinas, cubículos, consultorios)","P7_43_4_5","Numérico","1","0
"
"Tipo de lugar donde le han provocado alguna lesión física: En las áreas del personal técnico penitenciario (oficinas, cubículos, consultorios)","P7_43_4_5","Numérico","1","1
"
"Tipo de lugar donde le han provocado alguna lesión física: Otro","P7_43_4_6","Numérico","1","0
"
"Tipo de lugar donde le han provocado alguna lesión física: Otro","P7_43_4_6","Numérico","1","1
"
"Tipo de lugar donde le han provocado alguna lesión física: No sabe","P7_43_4_8","Numérico","1","0
"
"Tipo de lugar donde le han provocado alguna lesión física: No sabe","P7_43_4_8","Numérico","1","1
"
"Tipo de lugar donde le han provocado alguna lesión física: No responde","P7_43_4_9","Numérico","1","0
"
"Tipo de lugar donde le han provocado alguna lesión física: No responde","P7_43_4_9","Numérico","1","1
"
"Reporte ante alguna autoridad: alguna lesión física","P7_44_4","Numérico","1","1
"
"Reporte ante alguna autoridad: alguna lesión física","P7_44_4","Numérico","1","2
"
"Reporte ante alguna autoridad: alguna lesión física","P7_44_4","Numérico","1","8
"
"Reporte ante alguna autoridad: alguna lesión física","P7_44_4","Numérico","1","9
"
"Autoridad ante la que reportó alguna lesión física","P7_45_4","Numérico","1","1
"
"Autoridad ante la que reportó alguna lesión física","P7_45_4","Numérico","1","2
"
"Autoridad ante la que reportó alguna lesión física","P7_45_4","Numérico","1","3
"
"Autoridad ante la que reportó alguna lesión física","P7_45_4","Numérico","1","4
"
"Autoridad ante la que reportó alguna lesión física","P7_45_4","Numérico","1","8
"
"Autoridad ante la que reportó alguna lesión física","P7_45_4","Numérico","1","9
"
"Número de veces que sufrió Victimización por otros delitos sexuales","P7_41_5","Numérico","2","01 .. 97
"
"Número de veces que sufrió Victimización por otros delitos sexuales","P7_41_5","Numérico","2","98
"
"Número de veces que sufrió Victimización por otros delitos sexuales","P7_41_5","Numérico","2","99
"
"Tipo de personas que le cometieron otros delitos sexuales: Internos(as)","P7_42_5_1","Numérico","1","0
"
"Tipo de personas que le cometieron otros delitos sexuales: Internos(as)","P7_42_5_1","Numérico","1","1
"
"Tipo de personas que le cometieron otros delitos sexuales: Custodios(as)","P7_42_5_2","Numérico","1","0
"
"Tipo de personas que le cometieron otros delitos sexuales: Custodios(as)","P7_42_5_2","Numérico","1","1
"
"Tipo de personas que le cometieron otros delitos sexuales: Personal técnico penitenciario","P7_42_5_3","Numérico","1","0
"
"Tipo de personas que le cometieron otros delitos sexuales: Personal técnico penitenciario","P7_42_5_3","Numérico","1","1
"
"Tipo de personas que le cometieron otros delitos sexuales: Otro.","P7_42_5_4","Numérico","1","0
"
"Tipo de personas que le cometieron otros delitos sexuales: Otro.","P7_42_5_4","Numérico","1","1
"
"Tipo de personas que le cometieron otros delitos sexuales: No sabe","P7_42_5_8","Numérico","1","0
"
"Tipo de personas que le cometieron otros delitos sexuales: No sabe","P7_42_5_8","Numérico","1","1
"
"Tipo de personas que le cometieron otros delitos sexuales: No responde","P7_42_5_9","Numérico","1","0
"
"Tipo de personas que le cometieron otros delitos sexuales: No responde","P7_42_5_9","Numérico","1","1
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: En su celda","P7_43_5_1","Numérico","1","0
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: En su celda","P7_43_5_1","Numérico","1","1
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: En el patio (canchas o áreas recreativas)","P7_43_5_2","Numérico","1","0
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: En el patio (canchas o áreas recreativas)","P7_43_5_2","Numérico","1","1
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: En los baños (regaderas y sanitarios)","P7_43_5_3","Numérico","1","0
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: En los baños (regaderas y sanitarios)","P7_43_5_3","Numérico","1","1
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: En las áreas de visita","P7_43_5_4","Numérico","1","0
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: En las áreas de visita","P7_43_5_4","Numérico","1","1
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: En las áreas del personal técnico penitenciario (oficinas, cubículos, consultorios)","P7_43_5_5","Numérico","1","0
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: En las áreas del personal técnico penitenciario (oficinas, cubículos, consultorios)","P7_43_5_5","Numérico","1","1
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: Otro","P7_43_5_6","Numérico","1","0
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: Otro","P7_43_5_6","Numérico","1","1
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: No sabe","P7_43_5_8","Numérico","1","0
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: No sabe","P7_43_5_8","Numérico","1","1
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: No responde","P7_43_5_9","Numérico","1","0
"
"Tipo de lugar donde lo han agredido mediante hostigamiento sexual, manoseo, exhibicionismo o intento de violación: No responde","P7_43_5_9","Numérico","1","1
"
"Reporte ante alguna autoridad: otros delitos sexuales","P7_44_5","Numérico","1","1
"
"Reporte ante alguna autoridad: otros delitos sexuales","P7_44_5","Numérico","1","2
"
"Reporte ante alguna autoridad: otros delitos sexuales","P7_44_5","Numérico","1","8
"
"Reporte ante alguna autoridad: otros delitos sexuales","P7_44_5","Numérico","1","9
"
"Autoridad ante la que reportó otros delitos sexuales","P7_45_5","Numérico","1","1
"
"Autoridad ante la que reportó otros delitos sexuales","P7_45_5","Numérico","1","2
"
"Autoridad ante la que reportó otros delitos sexuales","P7_45_5","Numérico","1","3
"
"Autoridad ante la que reportó otros delitos sexuales","P7_45_5","Numérico","1","4
"
"Autoridad ante la que reportó otros delitos sexuales","P7_45_5","Numérico","1","8
"
"Autoridad ante la que reportó otros delitos sexuales","P7_45_5","Numérico","1","9
"
"Número de veces que sufrió Victimización por violación sexual","P7_41_6","Numérico","2","01 .. 97
"
"Número de veces que sufrió Victimización por violación sexual","P7_41_6","Numérico","2","98
"
"Número de veces que sufrió Victimización por violación sexual","P7_41_6","Numérico","2","99
"
"Tipo de personas que le violaron: Internos(as)","P7_42_6_1","Numérico","1","0
"
"Tipo de personas que le violaron: Internos(as)","P7_42_6_1","Numérico","1","1
"
"Tipo de personas que le violaron: Custodios(as)","P7_42_6_2","Numérico","1","0
"
"Tipo de personas que le violaron: Custodios(as)","P7_42_6_2","Numérico","1","1
"
"Tipo de personas que le violaron: Personal técnico penitenciario","P7_42_6_3","Numérico","1","0
"
"Tipo de personas que le violaron: Personal técnico penitenciario","P7_42_6_3","Numérico","1","1
"
"Tipo de personas que le violaron: Otro","P7_42_6_4","Numérico","1","0
"
"Tipo de personas que le violaron: Otro","P7_42_6_4","Numérico","1","1
"
"Tipo de personas que le violaron: No sabe","P7_42_6_8","Numérico","1","0
"
"Tipo de personas que le violaron: No sabe","P7_42_6_8","Numérico","1","1
"
"Tipo de personas que le violaron: No responde","P7_42_6_9","Numérico","1","0
"
"Tipo de personas que le violaron: No responde","P7_42_6_9","Numérico","1","1
"
"Tipo de lugar donde ocurrió la violación sexual: En su celda","P7_43_6_1","Numérico","1","0
"
"Tipo de lugar donde ocurrió la violación sexual: En su celda","P7_43_6_1","Numérico","1","1
"
"Tipo de lugar donde ocurrió la violación sexual: En el patio (canchas o áreas recreativas)","P7_43_6_2","Numérico","1","0
"
"Tipo de lugar donde ocurrió la violación sexual: En el patio (canchas o áreas recreativas)","P7_43_6_2","Numérico","1","1
"
"Tipo de lugar donde ocurrió la violación sexual: En los baños (regaderas y sanitarios)","P7_43_6_3","Numérico","1","0
"
"Tipo de lugar donde ocurrió la violación sexual: En los baños (regaderas y sanitarios)","P7_43_6_3","Numérico","1","1
"
"Tipo de lugar donde ocurrió la violación sexual: En las áreas de visita","P7_43_6_4","Numérico","1","0
"
"Tipo de lugar donde ocurrió la violación sexual: En las áreas de visita","P7_43_6_4","Numérico","1","1
"
"Tipo de lugar donde ocurrió la violación sexual:  En las áreas del personal técnico penitenciario (oficinas, cubículos, consultorios)","P7_43_6_5","Numérico","1","0
"
"Tipo de lugar donde ocurrió la violación sexual:  En las áreas del personal técnico penitenciario (oficinas, cubículos, consultorios)","P7_43_6_5","Numérico","1","1
"
"Tipo de lugar donde ocurrió la violación sexual: Otro","P7_43_6_6","Numérico","1","0
"
"Tipo de lugar donde ocurrió la violación sexual: Otro","P7_43_6_6","Numérico","1","1
"
"Tipo de lugar donde ocurrió la violación sexual: No sabe","P7_43_6_8","Numérico","1","0
"
"Tipo de lugar donde ocurrió la violación sexual: No sabe","P7_43_6_8","Numérico","1","1
"
"Tipo de lugar donde ocurrió la violación sexual: No responde","P7_43_6_9","Numérico","1","0
"
"Tipo de lugar donde ocurrió la violación sexual: No responde","P7_43_6_9","Numérico","1","1
"
"Reporte ante alguna autoridad: violación sexual","P7_44_6","Numérico","1","1
"
"Reporte ante alguna autoridad: violación sexual","P7_44_6","Numérico","1","2
"
"Reporte ante alguna autoridad: violación sexual","P7_44_6","Numérico","1","8
"
"Reporte ante alguna autoridad: violación sexual","P7_44_6","Numérico","1","9
"
"Autoridad ante la que reportó la violación sexual","P7_45_6","Numérico","1","1
"
"Autoridad ante la que reportó la violación sexual","P7_45_6","Numérico","1","2
"
"Autoridad ante la que reportó la violación sexual","P7_45_6","Numérico","1","3
"
"Autoridad ante la que reportó la violación sexual","P7_45_6","Numérico","1","4
"
"Autoridad ante la que reportó la violación sexual","P7_45_6","Numérico","1","8
"
"Autoridad ante la que reportó la violación sexual","P7_45_6","Numérico","1","9
"
"Discriminación por edad","P7_46_01","Numérico","1","1
"
"Discriminación por edad","P7_46_01","Numérico","1","2
"
"Discriminación por edad","P7_46_01","Numérico","1","3
"
"Discriminación por edad","P7_46_01","Numérico","1","8
"
"Discriminación por edad","P7_46_01","Numérico","1","9
"
"Discriminación por color de piel","P7_46_02","Numérico","1","1
"
"Discriminación por color de piel","P7_46_02","Numérico","1","2
"
"Discriminación por color de piel","P7_46_02","Numérico","1","3
"
"Discriminación por color de piel","P7_46_02","Numérico","1","8
"
"Discriminación por color de piel","P7_46_02","Numérico","1","9
"
"Discriminación por otros rasgos físicos","P7_46_03","Numérico","1","1
"
