"P3_26","descrip"
"1
","Hasta $200 pesos"
"2
","De $201 hasta $500 pesos"
"3
","De $501 hasta $1000 pesos"
"4
","De $1001 hasta $5000 pesos"
"5
","Más de $5000 pesos"
"6
","Otro"
"8
","No sabe"
"9
","No responde"
