"P3_10","descrip"
"1
","realizando la conducta o acto por el cual lo(a) acusan?"
"2
","inmediatamente después de la conducta o el acto por el cual lo(a) acusan?."
"3
","con una orden de detención?"
"4
","después de una inspección o revisión de su cuerpo o pertenencias?"
"5
","ninguna de las anteriores"
"9
","No responde"
