"P3_9","descrip"
"1
","Inmediatamente"
"2
","Pasaron unos días (menos de una semana)"
"3
","Pasó más de una semana y menos de un mes"
"4
","Pasó un mes"
"5
","Pasó más de un mes y menos de un año"
"6
","Pasó un año o más"
"8
","No sabe"
"9
","No responde"
