"P2_13","descrip"
"01
","Un familiar o amigo(a) me daba dinero"
"02
","Vendía o realizaba algún producto para su venta"
"03
","Ofrecía algún servicio a cambio de un pago"
"04
","Trabajaba en tierras propias o ayudando en las tierras o negocio de otra persona (agricultura, pesca, ganadería de autoconsumo, negocios familiares)"
"05
","Recibía apoyo de un programa de gobierno"
"06
","Negocios chuecos, al “bisne”, a la tranza, etcétera (actividades ilegales)"
"07
","Vivía de mis ahorros"
"08
","Otra actividad"
"98
","No sabe"
"99
","No responde"
