"P3_1","descrip"
"1
","Porque cometió un delito"
"2
","Porque ayudó en la realización de un delito"
"3
","Porque no ha podido comprobar su inocencia"
"4
","Lo(a) acusaron falsamente de cometer un delito, lo(a) inculparon, lo(a) confundieron, dicen que cometió un delito"
"5
","Otro"
"8
","No sabe"
"9
","No responde"
