"P3_20","descrip"
"01
","Hasta 30 minutos"
"02
","Más de 30 minutos hasta 1 hora"
"03
","Más de 1 hora hasta 2 horas"
"04
","Más de 2 horas hasta 4 horas"
"05
","Más de 4 horas hasta 6 horas"
"06
","Más de 6 horas hasta 24 horas"
"07
","Más de 24 horas hasta 48 horas"
"08
","Más de 48 horas hasta 72 horas"
"09
","Más de 72 horas"
"98
","No sabe"
"99
","No responde"
