"P2_2","descrip"
"01
","casa independiente?"
"02
","departamento en edificio?"
"03
","cuarto en vecindad?"
"04
","cuarto de azotea?"
"05
","un local no construido para habitación?"
"06
","No tenía vivienda, vivía en un cuarto de hotel"
"07
","No tenía vivienda, vivía en un carro o camión"
"08
","No tenía vivienda, vivía en la calle"
"09
","No tenía vivienda, vivía en alguna
institución (albergue, casa hogar, asilo)"
"10
","Otro"
"98
","No sabe"
"99
","No responde"
