"R2_10_CVE","descrip"
"1111…9899
","Catálogo de ocupaciones"
"1011…1019
","Catálogo de ocupaciones ilegales"
"1001
","Buscó trabajo"
"1002
","Estudiante"
"1003
","Actividades en quehaceres del hogar"
"1004
","Jubilado o pensionado"
"1005
","Incapacitados permanentemente"
"1006
","Limosneros"
"1007
","Rentista"
"1008
","No trabaja (otros inactivos)"
"9999
","Ocupaciones no especificadas"
