"P3_2","descrip"
"01
","Policía Municipal"
"02
","Policía Estatal"
"03
","Policía Federal"
"04
","Policía Estatal Ministerial o Judicial"
"05
","Policía Federal Ministerial (PGR o FGR)"
"06
","Guardia Nacional"
"07
","Ejército"
"08
","Marina"
"09
","Un operativo conjunto"
"10
","Otra autoridad o agente gubernamental (migración, policía bancaria)"
"11
","Ninguna, un familiar, la misma víctima o un tercero me entregó"
"12
","Ninguna, ya estaba en el MP, en el juzgado, tenía un citatorio, etc."
"13
","Ninguna, yo me entregué de manera voluntaria"
"14
","Seguridad privada"
"15
","Otro"
"98
","No sabe"
"99
","No responde"
