"P2_12","descrip"
"01
","Porque no encontraba trabajo"
"02
","Por problemas de salud"
"03
","Por responsabilidades familiares"
"04
","Porque estaba estudiando"
"05
","Porque no necesitaba trabajar"
"06
","Porque no quería trabajar"
"07
","Porque me dedicaba a los quehaceres del hogar"
"08
","Porque tenía problemas de adicciones"
"09
","Porque tenía un trabajo ilegal"
"10
","Tenía trabajo, pero no trabajé (descanso, vacaciones, incapacidad, castigo, asueto)"
"11
","Me habían despedido, se había terminado mi contrato, se había terminado mi temporada de trabajo"
"12
","No me encontraba en el lugar de residencia habitual"
"13
","Otra razón"
"98
","No sabe"
"99
","No responde"
