ARCHIVO,CONTENIDO
m1s12p1,"Traslados de personas privadas de la libertad en los centros penitenciarios, según tipo, durante el año 2024."
m1s12p2,"Traslados de personas privadas de la libertad en los centros penitenciarios, según motivo del traslado y tipo, durante el año 2024."
m1s12p3,"Traslados de personas privadas de la libertad en los centros penitenciarios que presentaron la ocurrencia de algún incidente, según tipo de traslado y tipo de incidente, durante el año 2024."
m1s12p4,"Traslados internacionales de personas privadas de la libertad en los centros penitenciarios, según país receptor, durante el año 2024."
m1s12p5,"Extradiciones de personas privadas de la libertad en los centros penitenciarios, según país solicitante, durante el año 2024."
