"R7_13X","descrip"
"01
","Labores artesanales"
"02
","Maquila"
"03
","Carpinteria"
"04
","Elaboración/ venta de alimentos"
"05
","Servicios personales"
"06
","Labores en cocina del centro penitenciario"
"07
","Lavandería del centro penitenciario"
"08
","Impartir clases/cursos"
"09
","Mantenimiento/limpieza del centro penitenciario"
"10
","Actividades de apoyo a diferentes áreas del centro penitenciario"
"11
","Comercio (artículos varios excepto comida)"
"12
","Actividades agrícolas y agropecuarias"
"13
","Actividades culturales, deportivas y religiosas"
"14
","Otras actividades"
"00
","NO TRABAJA POR MOTIVO DEL COVID-19"
"97
","NINGUNA"
"98
","No sabe"
"99
","No responde"
