"P7_12","descrip"
"01
","1 vez por semana"
"02
","2 veces por semana"
"03
","3 veces por semana"
"04
","4 veces por semana"
"05
","5 veces por semana"
"06
","6 veces por semana"
"07
","Más de 6 veces a la semana"
"08
","1 a 3 veces al mes"
"98
","No sabe"
"99
","No responde"
