"P7_20","descrip"
"01
","No existen programas educativos"
"02
","No existen programas adecuados a su nivel de estudio"
"03
","No le interesan los programas educativos que ofrece el Centro"
"04
","No se lo permite una autoridad"
"05
","No quiere / no le interesa"
"06
","No se le da / le resultaba difícil"
"07
","No tiene tiempo"
"08
","No tiene papeles (certificado, acta de nacimiento)"
"09
","No le dan un certificado oficial al terminar"
"10
","Otra"
"98
","No sabe"
"99
","No responde"
